t_lsl,t_rel,ox,oy,oz,dx,dy,dz
1908510.646578,15.542336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908510.663578,15.559336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908510.679578,15.575336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908510.696578,15.592336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908510.714578,15.610336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908510.730578,15.626336,0.0075,-0.0024,-0.0332,0.5083,0.0203,-0.8609
1908510.746578,15.642336,0.0075,-0.0024,-0.0332,0.5084,0.0201,-0.8609
1908510.763578,15.659336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908510.779578,15.675336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908510.796578,15.692336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908510.813578,15.709336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908510.830578,15.726336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908510.847578,15.743336,0.0075,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908510.863578,15.759336,0.0075,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908510.880578,15.776336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908510.898578,15.794336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908510.916578,15.812336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908510.933578,15.829336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908510.948578,15.844336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908510.966578,15.862336,0.0075,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908510.982578,15.878336,0.0075,-0.0023,-0.0332,0.5083,0.0203,-0.8609
1908510.999578,15.895336,0.0075,-0.0023,-0.0332,0.5083,0.0202,-0.8609
1908511.016578,15.912336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908511.033578,15.929336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908511.049578,15.945336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908511.066578,15.962336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908511.083578,15.979336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908511.100578,15.996336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
